,name,lang,stars,commits,issues,tags,releases,last_commit,description,url
6,doocs/advanced-java,java,45965,488,102,0,0,2020-07-19 02:35:14+00:00,😮 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识，后端同学必看，前端同学也可学习,https://github.com/doocs/advanced-java
7,kdn251/interviews,java,45703,445,43,0,0,2020-06-06 02:37:07+00:00,Everything you need to know to get the job.,https://github.com/kdn251/interviews
8,ReactiveX/RxJava,java,43170,5763,2951,238,198,2020-07-28 11:05:01+00:00,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,https://github.com/ReactiveX/RxJava
9,macrozheng/mall,java,38748,526,311,1,0,2020-07-28 12:38:58+00:00,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,https://github.com/macrozheng/mall
10,spring-projects/spring-framework,java,38494,21247,19777,185,182,2020-07-28 14:53:37+00:00,Spring Framework,https://github.com/spring-projects/spring-framework
11,google/guava,java,38254,5308,3151,90,29,2020-07-23 17:31:13+00:00,Google core libraries for Java,https://github.com/google/guava
12,square/okhttp,java,37798,4677,3153,102,0,2020-07-25 13:43:50+00:00,Square’s meticulous HTTP client for Java and Kotlin.,https://github.com/square/okhttp
13,square/retrofit,java,36153,1855,2403,54,27,2020-06-18 03:18:03+00:00,A type-safe HTTP client for Android and the JVM,https://github.com/square/retrofit
14,apache/dubbo,java,33082,4377,3647,70,27,2020-07-28 08:08:53+00:00,"Apache Dubbo is a high-performance, java based, open source RPC framework.",https://github.com/apache/dubbo
15,PhilJay/MPAndroidChart,java,31327,2064,4488,44,44,2020-05-26 05:39:12+00:00,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.",https://github.com/PhilJay/MPAndroidChart
16,bumptech/glide,java,29559,2517,3770,38,35,2020-07-21 21:31:40+00:00,An image loading and caching library for Android focused on smooth scrolling,https://github.com/bumptech/glide
17,airbnb/lottie-android,java,29308,1196,1158,83,24,2020-07-29 01:11:00+00:00,"Render After Effects animations natively on Android and iOS, Web, and React Native",https://github.com/airbnb/lottie-android
18,TheAlgorithms/Java,java,27643,1078,195,0,0,2020-07-26 18:46:07+00:00,All Algorithms implemented in Java,https://github.com/TheAlgorithms/Java
19,Blankj/AndroidUtilCode,java,27522,1287,1108,115,115,2020-05-28 02:49:41+00:00,:fire: Android developers should collect the following utils(updating).,https://github.com/Blankj/AndroidUtilCode
20,zxing/zxing,java,25858,3544,1010,27,26,2020-07-22 18:00:29+00:00,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android",https://github.com/zxing/zxing
21,proxyee-down-org/proxyee-down,java,25598,473,0,50,49,2019-10-09 06:57:12+00:00,http下载工具，基于http代理，支持多连接分块下载,https://github.com/proxyee-down-org/proxyee-down
22,JakeWharton/butterknife,java,25379,1003,1127,46,0,2020-06-16 12:24:17+00:00,Bind Android views and callbacks to fields and methods.,https://github.com/JakeWharton/butterknife
23,crossoverJie/JCSprout,java,25036,704,89,1,0,2020-05-18 13:54:42+00:00,"👨‍🎓 Java Core Sprout : basic, concurrent, algorithm ",https://github.com/crossoverJie/JCSprout
24,netty/netty,java,24282,9910,5137,218,0,2020-07-17 05:12:11+00:00,Netty project - an event-driven asynchronous network application framework,https://github.com/netty/netty
25,kon9chunkit/GitHub-Chinese-Top-Charts,java,23079,49,107,0,0,2020-07-27 00:20:52+00:00,:cn: GitHub中文排行榜，帮助你发现高分优秀中文项目、更高效地吸收国人的优秀经验成果；榜单每周更新一次，敬请关注！,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts
26,ityouknow/spring-boot-examples,java,23042,165,97,0,0,2020-04-18 05:17:32+00:00,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 ,https://github.com/ityouknow/spring-boot-examples
27,skylot/jadx,java,22879,1264,701,14,13,2020-07-20 09:33:10+00:00,Dex to Java decompiler,https://github.com/skylot/jadx
28,greenrobot/EventBus,java,22719,507,528,7,5,2020-02-11 09:52:09+00:00,"Event bus for Android and Java that simplifies communication between Activities, Fragments, Threads, Services, etc. Less code, better quality.",https://github.com/greenrobot/EventBus
29,alibaba/arthas,java,22318,1177,988,26,21,2020-07-28 02:55:42+00:00,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas,https://github.com/alibaba/arthas
0,donnemartin/system-design-primer,python,102768,313,129,0,0,2020-07-18 01:15:47+00:00,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer
1,public-apis/public-apis,python,90183,2170,135,0,0,2020-07-22 08:14:20+00:00,A collective list of free APIs for use in software and web development.,https://github.com/public-apis/public-apis
2,vinta/awesome-python,python,84852,1538,168,0,0,2020-07-27 08:37:01+00:00,"A curated list of awesome Python frameworks, libraries, software and resources",https://github.com/vinta/awesome-python
3,TheAlgorithms/Python,python,80202,1643,365,0,0,2020-07-28 22:11:16+00:00,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python
4,ytdl-org/youtube-dl,python,69133,17723,21048,1074,298,2020-07-27 22:13:03+00:00,Command-line program to download videos from YouTube.com and other video sites,https://github.com/ytdl-org/youtube-dl
5,tensorflow/models,python,65295,5161,5630,14,12,2020-07-29 00:15:06+00:00,Models and examples built with TensorFlow,https://github.com/tensorflow/models
6,nvbn/thefuck,python,54393,1567,552,81,15,2020-07-16 21:56:58+00:00,Magnificent app which corrects your previous console command.,https://github.com/nvbn/thefuck
7,pallets/flask,python,51382,3981,1968,32,10,2020-07-28 21:17:36+00:00,The Python micro framework for building web applications.,https://github.com/pallets/flask
8,django/django,python,50928,28611,0,288,0,2020-07-28 11:10:12+00:00,The Web framework for perfectionists with deadlines.,https://github.com/django/django
9,keras-team/keras,python,49110,5349,10221,50,23,2020-06-24 22:39:49+00:00,Deep Learning for humans,https://github.com/keras-team/keras
10,jakubroztocil/httpie,python,47642,1231,626,37,34,2020-07-16 20:47:39+00:00,"As easy as HTTPie /aitch-tee-tee-pie/ 🥧  Modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more. https://twitter.com/clihttp",https://github.com/jakubroztocil/httpie
11,josephmisiti/awesome-machine-learning,python,45904,1418,64,0,0,2020-07-10 13:59:08+00:00,"A curated list of awesome Machine Learning frameworks, libraries and software.",https://github.com/josephmisiti/awesome-machine-learning
12,ansible/ansible,python,44101,50405,27736,319,3,2020-07-28 22:40:16+00:00,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid writing scripts or custom code to deploy and update your applications — automate in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com/ansible/",https://github.com/ansible/ansible
13,psf/requests,python,43107,5969,3191,139,0,2020-07-24 04:57:30+00:00,"A simple, yet elegant HTTP library.",https://github.com/psf/requests
14,scikit-learn/scikit-learn,python,41726,25898,7719,111,19,2020-07-28 21:36:56+00:00,scikit-learn: machine learning in Python,https://github.com/scikit-learn/scikit-learn
15,scrapy/scrapy,python,37837,8289,2249,95,16,2020-07-28 09:15:14+00:00,"Scrapy, a fast high-level web crawling & scraping framework for Python.",https://github.com/scrapy/scrapy
16,minimaxir/big-list-of-naughty-strings,python,37766,271,76,0,0,2020-05-26 02:39:03+00:00,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.,https://github.com/minimaxir/big-list-of-naughty-strings
17,ageitgey/face_recognition,python,35510,194,1029,2,2,2020-02-20 14:20:21+00:00,The world's simplest facial recognition api for Python and the command line,https://github.com/ageitgey/face_recognition
18,home-assistant/core,python,34575,28403,15595,620,619,2020-07-29 00:02:39+00:00,:house_with_garden: Open source home automation that puts local control and privacy first,https://github.com/home-assistant/core
19,soimort/you-get,python,34363,2309,0,144,105,2020-07-26 13:06:03+00:00,:arrow_double_down: Dumb downloader that scrapes the web,https://github.com/soimort/you-get
20,shadowsocks/shadowsocks,python,32716,1,0,18,2,2015-08-22 02:45:55+00:00,,https://github.com/shadowsocks/shadowsocks
21,python/cpython,python,32685,107851,0,438,0,2020-07-29 00:57:12+00:00,The Python programming language,https://github.com/python/cpython
22,521xueweihan/HelloGitHub,python,32558,87,1302,9,9,2020-07-27 11:55:12+00:00,:octocat: Find pearls on open-source seashore 分享 GitHub 上有趣、入门级的开源项目,https://github.com/521xueweihan/HelloGitHub
23,deepfakes/faceswap,python,31560,1125,608,2,2,2020-07-25 10:05:29+00:00,Deepfakes Software For All,https://github.com/deepfakes/faceswap
24,huggingface/transformers,python,31537,4672,3834,37,33,2020-07-28 22:30:16+00:00,🤗Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,https://github.com/huggingface/transformers
25,XX-net/XX-Net,python,30216,2184,12585,305,301,2020-07-17 20:53:01+00:00,a web proxy tool,https://github.com/XX-net/XX-Net
26,apache/incubator-superset,python,29468,5443,4741,171,12,2020-07-29 01:28:22+00:00,"Apache Superset (incubating) is a modern, enterprise-ready business intelligence web application",https://github.com/apache/incubator-superset
27,testerSunshine/12306,python,28412,434,625,1,1,2019-12-27 01:49:00+00:00,12306智能刷票，订票,https://github.com/testerSunshine/12306
28,0voice/interview_internal_reference,python,28105,328,38,0,0,2020-07-14 08:36:31+00:00,2020年最新总结，阿里，腾讯，百度，美团，头条等技术面试题目，以及答案，专家出题人分析汇总。,https://github.com/0voice/interview_internal_reference
29,isocpp/CppCoreGuidelines,python,28021,1883,814,4,4,2020-07-26 18:23:33+00:00,"The C++ Core Guidelines are a set of tried-and-true guidelines, rules, and best practices about coding in C++",https://github.com/isocpp/CppCoreGuidelines
0,laravel/laravel,php,60479,6261,0,110,36,2020-07-27 15:57:16+00:00,A PHP framework for web artisans,https://github.com/laravel/laravel
1,blueimp/jQuery-File-Upload,php,30748,1247,3240,134,0,2020-07-11 07:54:23+00:00,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine, PHP, Python, Ruby on Rails, Java, etc.) that supports standard HTML form file uploads.",https://github.com/blueimp/jQuery-File-Upload
2,danielmiessler/SecLists,php,26039,957,119,11,10,2020-07-22 15:25:47+00:00,"SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more.",https://github.com/danielmiessler/SecLists
3,fzaninotto/Faker,php,24379,2614,557,12,11,2020-05-11 08:39:57+00:00,Faker is a PHP library that generates fake data for you,https://github.com/fzaninotto/Faker
4,symfony/symfony,php,23674,49962,14398,505,247,2020-07-23 17:22:39+00:00,The Symfony PHP framework,https://github.com/symfony/symfony
5,composer/composer,php,23518,9724,6055,80,80,2020-07-21 15:17:12+00:00,Dependency Manager for PHP,https://github.com/composer/composer
6,laravel/framework,php,21668,28444,13850,551,271,2020-07-28 17:31:07+00:00,,https://github.com/laravel/framework
7,guzzle/guzzle,php,19664,3505,1609,130,39,2020-07-23 11:23:18+00:00,"Guzzle, an extensible PHP HTTP client",https://github.com/guzzle/guzzle
8,domnikl/DesignPatternsPHP,php,18921,1081,94,0,0,2020-07-12 19:17:29+00:00,sample code for several design patterns in PHP 7.4,https://github.com/domnikl/DesignPatternsPHP
9,bcit-ci/CodeIgniter,php,18058,10156,3122,38,0,2020-07-09 08:47:47+00:00,Open Source PHP Framework (originally from EllisLab),https://github.com/bcit-ci/CodeIgniter
10,Seldaek/monolog,php,17664,2379,629,51,40,2020-07-23 08:41:23+00:00,"Sends your logs to files, sockets, inboxes, databases and various web services",https://github.com/Seldaek/monolog
11,sebastianbergmann/phpunit,php,16393,13873,2760,605,0,2020-07-27 15:01:50+00:00,The PHP Unit Testing framework.,https://github.com/sebastianbergmann/phpunit
12,PHPMailer/PHPMailer,php,15303,1615,1610,61,42,2020-07-20 09:31:22+00:00,The classic email sending library for PHP,https://github.com/PHPMailer/PHPMailer
13,briannesbitt/Carbon,php,14554,2636,928,163,159,2020-07-28 06:04:54+00:00,A simple PHP API extension for DateTime.,https://github.com/briannesbitt/Carbon
14,WordPress/WordPress,php,14108,42160,0,447,0,2020-07-28 21:21:05+00:00,"WordPress, Git-ified. Synced via SVN every 15 minutes, including branches and tags! This repository is just a mirror of the WordPress subversion repository. Please do not send pull requests. Submit patches to https://core.trac.wordpress.org/ instead.",https://github.com/WordPress/WordPress
15,yiisoft/yii2,php,13468,19356,10697,52,51,2020-07-22 13:49:49+00:00,"Yii 2: The Fast, Secure and Professional PHP Framework",https://github.com/yiisoft/yii2
16,matomo-org/matomo,php,13444,26750,11018,612,467,2020-07-28 21:32:05+00:00,"Liberating Web Analytics. Star us on Github? +1. Matomo is the leading open alternative to Google Analytics that gives you full control over your data. Matomo lets you easily collect data from websites, apps & the IoT and visualise this data and extract insights. Privacy is built-in. We love Pull Requests! ",https://github.com/matomo-org/matomo
17,nikic/PHP-Parser,php,13348,1260,429,62,58,2020-07-25 13:18:53+00:00,A PHP parser written in PHP,https://github.com/nikic/PHP-Parser
18,erusev/parsedown,php,13013,841,503,81,25,2020-02-18 10:38:52+00:00,Better Markdown Parser in PHP,https://github.com/erusev/parsedown
19,easychen/howto-make-more-money,php,12354,59,20,1,1,2020-06-01 05:13:03+00:00,"程序员如何优雅的挣零花钱，2.0版，升级为小书了。Most of this not work outside China , so no English translate",https://github.com/easychen/howto-make-more-money
20,getgrav/grav,php,12128,5354,2362,213,209,2020-07-07 17:17:15+00:00,"Modern, Crazy Fast, Ridiculously Easy and Amazingly Powerful Flat-File CMS",https://github.com/getgrav/grav
21,filp/whoops,php,11907,1082,314,56,0,2020-06-14 09:00:00+00:00,PHP errors for cool kids ,https://github.com/filp/whoops
22,koel/koel,php,11667,1767,706,39,37,2020-07-15 13:20:02+00:00,🐦 A personal music streaming server that works.,https://github.com/koel/koel
23,phacility/phabricator,php,11635,16732,0,0,0,2020-07-24 20:41:26+00:00,Open software engineering platform and fun adventure game,https://github.com/phacility/phabricator
24,CachetHQ/Cachet,php,11324,6972,2194,54,54,2020-04-07 18:10:45+00:00,📛 An open source status page system for everyone.,https://github.com/CachetHQ/Cachet
25,nextcloud/server,php,11319,54402,10566,604,22,2020-07-28 16:37:35+00:00,"☁️ Nextcloud server, a safe home for all your data",https://github.com/nextcloud/server
26,barryvdh/laravel-debugbar,php,11311,833,763,104,44,2020-07-28 19:31:11+00:00,Laravel Debugbar (Integrates PHP Debug Bar),https://github.com/barryvdh/laravel-debugbar
27,PHPOffice/PHPExcel,php,11309,1274,992,14,0,2019-01-02 01:38:47+00:00,ARCHIVED,https://github.com/PHPOffice/PHPExcel
28,thephpleague/flysystem,php,11242,1828,597,137,13,2020-07-26 07:20:36+00:00,Abstraction for local and remote filesystems,https://github.com/thephpleague/flysystem
29,Intervention/image,php,11027,650,796,105,0,2020-07-06 19:03:15+00:00,PHP Image Manipulation,https://github.com/Intervention/image
0,tensorflow/tensorflow,c++,146882,91663,26636,116,112,2020-07-29 02:02:10+00:00,An Open Source Machine Learning Framework for Everyone,https://github.com/tensorflow/tensorflow
1,electron/electron,c++,84744,23847,13394,987,591,2020-07-28 23:43:43+00:00,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",https://github.com/electron/electron
2,microsoft/terminal,c++,66440,1500,5600,52,30,2020-07-20 23:13:20+00:00,"The new Windows Terminal and the original Windows console host, all in the same place!",https://github.com/microsoft/terminal
3,apple/swift,c++,52584,109625,0,1658,25,2020-07-29 02:12:31+00:00,The Swift Programming Language,https://github.com/apple/swift
